instnm,Applicants total (ADM2015),
Immaculata University,1599,
Indiana Institute of Technology,3016,
Indiana State University,11819,
Indiana University of Pennsylvania-Main Campus,9566,
Indiana University-Bloomington,34483,
Indiana University-East,1311,
Indiana University-Kokomo,1534,
Indiana University-Northwest,1573,
Indiana University-Purdue University-Fort Wayne,3506,
Indiana University-Purdue University-Indianapolis,13529,
Indiana University-South Bend,2299,
Indiana University-Southeast,1930,
Indiana Wesleyan University-Marion,3176,
Institute of American Indian and Alaska Native Culture and Arts Development,128,
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,407,
Instituto Tecnologico de Puerto Rico-Recinto de Manati,464,
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,319,
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,467,
Inter American University of Puerto Rico-Aguadilla,1649,
Inter American University of Puerto Rico-Arecibo,1330,
Inter American University of Puerto Rico-Barranquitas,1243,
Inter American University of Puerto Rico-Bayamon,1838,
Inter American University of Puerto Rico-Fajardo,717,
Inter American University of Puerto Rico-Guayama,609,
Inter American University of Puerto Rico-Metro,3775,
Inter American University of Puerto Rico-Ponce,1836,
Inter American University of Puerto Rico-San German,1541,
InterCoast Colleges-Anaheim,145,
International Business College-Fort Wayne,635,
International Business College-Indianapolis,537,
International Culinary Arts and Sciences Institute,3,
International Yacht Restoration School,92,
Iona College,9587,
Iowa State University,19164,
Iowa Wesleyan University,4981,
Ithaca College,16519,
ITT Technical Institute-Akron,127,
ITT Technical Institute-Albany,93,
ITT Technical Institute-Albuquerque,172,
ITT Technical Institute-Arlington,263,
ITT Technical Institute-Arlington Heights,69,
ITT Technical Institute-Arnold,116,
ITT Technical Institute-Atlanta,335,
ITT Technical Institute-Aurora,85,
ITT Technical Institute-Austin,142,
ITT Technical Institute-Baton Rouge,403,
ITT Technical Institute-Bessemer,355,
ITT Technical Institute-Boise,105,
ITT Technical Institute-Brooklyn Center,97,
ITT Technical Institute-Canton,239,
ITT Technical Institute-Chantilly,137,
ITT Technical Institute-Charlotte North,173,
ITT Technical Institute-Charlotte South,129,
ITT Technical Institute-Chattanooga,85,
ITT Technical Institute-Clive,48,
ITT Technical Institute-Clovis,108,
ITT Technical Institute-Columbia,156,
ITT Technical Institute-Columbus,200,
ITT Technical Institute-Concord,90,
ITT Technical Institute-Cordova,259,
ITT Technical Institute-Corona,136,
ITT Technical Institute-Dayton,157,
ITT Technical Institute-Dearborn,211,
ITT Technical Institute-DeSoto,90,
ITT Technical Institute-Douglasville,145,
ITT Technical Institute-Duluth,262,
ITT Technical Institute-Dunmore,61,
ITT Technical Institute-Durham,138,
ITT Technical Institute-Earth City,352,
ITT Technical Institute-Eden Prairie,64,
ITT Technical Institute-Everett,94,
ITT Technical Institute-Fort Lauderdale,250,
ITT Technical Institute-Fort Myers,236,
ITT Technical Institute-Fort Wayne,100,
ITT Technical Institute-Getzville,104,
ITT Technical Institute-Greenfield,209,
ITT Technical Institute-Greenville,107,
ITT Technical Institute-Hanover,145,
ITT Technical Institute-Harrisburg,81,
ITT Technical Institute-Henderson,135,
ITT Technical Institute-Hialeah,234,
ITT Technical Institute-High Point,232,
ITT Technical Institute-Hilliard,189,
ITT Technical Institute-Houston North,284,
ITT Technical Institute-Houston West,208,
ITT Technical Institute-Huntington,84,
ITT Technical Institute-Indianapolis,1647,
ITT Technical Institute-Indianapolis East,163,
ITT Technical Institute-Jacksonville,349,
ITT Technical Institute-Johnson City,96,
ITT Technical Institute-Kansas City,105,
ITT Technical Institute-Kennesaw,136,
ITT Technical Institute-Knoxville,112,
ITT Technical Institute-Lake Mary,277,
ITT Technical Institute-Las Vegas,153,
ITT Technical Institute-Lathrop,124,
ITT Technical Institute-Levittown,103,
ITT Technical Institute-Lexington,193,
ITT Technical Institute-Little Rock,134,
ITT Technical Institute-Liverpool,101,
ITT Technical Institute-Louisville,190,
ITT Technical Institute-Madison,59,
ITT Technical Institute-Madison,105,
ITT Technical Institute-Madison,242,
ITT Technical Institute-Marlton,203,
ITT Technical Institute-Maumee,72,
ITT Technical Institute-Merrillville,94,
ITT Technical Institute-Mobile,445,
ITT Technical Institute-Murray,105,
ITT Technical Institute-Myrtle Beach,62,
ITT Technical Institute-Nashville,194,
ITT Technical Institute-National City,200,
ITT Technical Institute-Newburgh,137,
ITT Technical Institute-Norfolk,296,
ITT Technical Institute-North Charleston,161,
ITT Technical Institute-Norwood,206,
ITT Technical Institute-Norwood,149,
ITT Technical Institute-Oak Brook,92,
ITT Technical Institute-Oakland,149,
ITT Technical Institute-Oklahoma City,147,
